source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
1.FC Nürnberg;FC 08 Homburg;6210;Thomas Ziemer;20;mid;NA;0;1990;0;0;NA;1.FC Nürnberg;FC 08 Homburg;ablösefrei
1.FC Nürnberg;FC 08 Homburg;6211;Thomas Klein;25;fwd;NA;NA;1990;0;0;NA;1.FC Nürnberg;FC 08 Homburg;?
1.FC Nürnberg;Borussia Mönchengladbach;6212;Martin Schneider;21;mid;NA;NA;1990;0;0;NA;1.FC Nürnberg;Borussia Mönchengladbach;?
1.FC Nürnberg;1.FC Saarbrücken;6213;Thomas Kristl;27;mid;NA;NA;1990;0;0;NA;1.FC Nürnberg;1.FC Saarbrücken;?
1.FC Nürnberg;SG Wattenscheid 09;6214;Souleyman Sané;29;fwd;NA;NA;1990;0;0;NA;1.FC Nürnberg;SG Wattenscheid 09;?
1.FC Nürnberg;1.FC Schweinfurt 05;6215;Aleksandar Abutovic;24;def;NA;NA;1990;0;0;NA;1.FC Nürnberg;1.FC Schweinfurt 05;?
1.FC Nürnberg;SG Wattenscheid 09;6216;Stephan Kuhn;25;def;NA;NA;1990;0;0;NA;1.FC Nürnberg;SG Wattenscheid 09;?
1.FC Nürnberg;SV Meppen;6217;Christian Korek;25;mid;NA;NA;1990;0;0;NA;1.FC Nürnberg;SV Meppen;?
1.FC Nürnberg;Karriereende;6218;Sead Kajtaz;27;fwd;NA;0;1990;0;0;NA;1.FC Nürnberg;Karriereende;-
SG Wattenscheid 09;1.FC Köln;6219;Maurice Banach;22;fwd;NA;600000;1990;0;0;NA;SG Wattenscheid 09;1.FC Köln;600 Tsd. €
RSC Anderlecht;1.FC Köln;6220;Henrik Andersen;25;def;NA;0;1990;0;0;NA;RSC Anderlecht;1.FC Köln;ablösefrei
Fortuna Düsseldorf;1.FC Köln;6221;Uwe Fuchs;23;fwd;NA;NA;1990;0;0;NA;Fortuna Düsseldorf;1.FC Köln;?
FC Bayern München;1.FC Köln;6222;Hans-Dieter Flick;25;mid;NA;NA;1990;0;0;NA;FC Bayern München;1.FC Köln;?
1.FC Köln;1.FC Köln;6223;Karsten Baumann;20;def;NA;0;1990;0;0;NA;1.FC Köln II;1.FC Köln;-
1.FC Köln;1.FC Köln;6224;Horst Heldt;20;mid;NA;0;1990;0;0;NA;1.FC Köln II;1.FC Köln;-
1.FC Köln;Juventus Turin;6225;Thomas Häßler;24;mid;NA;7800000;1990;0;0;NA;1.FC Köln;Juventus Turin;7,80 Mio. €
1.FC Köln;Hertha BSC;6226;Uwe Rahn;28;fwd;NA;850000;1990;0;0;NA;1.FC Köln;Hertha BSC;850 Tsd. €
1.FC Köln;Hertha BSC;6227;Armin Görtz;31;mid;NA;340000;1990;0;0;NA;1.FC Köln;Hertha BSC;340 Tsd. €
1.FC Köln;Borussia Mönchengladbach;6228;Hans-Georg Dreßen;25;mid;NA;0;1990;0;1;NA;1.FC Köln;Borussia Mönchengladbach;Leihe
1.FC Köln;Karriereende;6229;Rudi Kargus;37;gkp;NA;0;1990;0;0;NA;1.FC Köln;Karriereende;-
1.FC Köln;1.FC Köln;6230;Jörg Gerlach;22;def;NA;0;1990;0;0;NA;1.FC Köln;1.FC Köln II;-
Grasshopper Club Zürich;SG Wattenscheid 09;6231;Harald Kohr;28;fwd;NA;230000;1990;0;1;230000;Grasshopper Club Zürich;SG Wattenscheid 09;Leihgebühr:230 Tsd. €
1.FC Nürnberg;SG Wattenscheid 09;6232;Souleyman Sané;29;fwd;NA;NA;1990;0;0;NA;1.FC Nürnberg;SG Wattenscheid 09;?
Accra Great Olympics;SG Wattenscheid 09;6233;Ali Ibrahim;20;fwd;NA;NA;1990;0;0;NA;Accra Great Olympics;SG Wattenscheid 09;?
1.FC Nürnberg;SG Wattenscheid 09;6234;Stephan Kuhn;25;def;NA;NA;1990;0;0;NA;1.FC Nürnberg;SG Wattenscheid 09;?
Rheydter SV;SG Wattenscheid 09;6235;Heinz Vossen;21;mid;NA;NA;1990;0;0;NA;Rheydter SV;SG Wattenscheid 09;?
SG Wattenscheid 09;1.FC Köln;6236;Maurice Banach;22;fwd;NA;600000;1990;0;0;NA;SG Wattenscheid 09;1.FC Köln;600 Tsd. €
SG Wattenscheid 09;1.FC Schweinfurt 05;6237;Dirk van der Ven;20;fwd;NA;0;1990;0;0;NA;SG Wattenscheid 09;1.FC Schweinfurt 05;ablösefrei
SG Wattenscheid 09;1.FC Schweinfurt 05;6238;Heiko Ueding;20;def;NA;0;1990;0;0;NA;SG Wattenscheid 09;1.FC Schweinfurt 05;ablösefrei
SG Wattenscheid 09;Rot-Weiss Essen;6239;Srdjan Jankovic;30;fwd;NA;0;1990;0;1;NA;SG Wattenscheid 09;Rot-Weiss Essen;Leihe
SG Wattenscheid 09;Preußen Münster;6240;Martin Kollenberg;25;def;NA;NA;1990;0;0;NA;SG Wattenscheid 09;Preußen Münster;?
SG Wattenscheid 09;Sportfreunde Katernberg 1913 (aufgel.);6241;Frank Bast;20;mid;NA;NA;1990;0;0;NA;SG Wattenscheid 09;Sportfreunde Katernberg 1913 (aufgel.);?
SG Wattenscheid 09;SV Sodingen;6242;Michael Drews;24;mid;NA;NA;1990;0;0;NA;SG Wattenscheid 09;SV Sodingen;?
SG Wattenscheid 09;TuS Paderborn-Neuhaus;6243;Ralf Lewe;21;mid;NA;NA;1990;0;0;NA;SG Wattenscheid 09;TuS Paderborn-Neuhaus;?
SG Wattenscheid 09;SpVgg Marl;6244;Stefan Studtrucker;23;fwd;NA;NA;1990;0;0;NA;SG Wattenscheid 09;SpVgg Marl;?
SG Wattenscheid 09;Unbekannt;6245;Guido Sobiech;23;def;NA;NA;1990;0;0;NA;SG Wattenscheid 09;Unbekannt;?
SG Wattenscheid 09;Preußen Münster;6246;Harald Kügler;28;fwd;NA;NA;1990;0;0;NA;SG Wattenscheid 09;Preußen Münster;?
Bayer 04 Leverkusen;Fortuna Düsseldorf;6247;Christian Schreier;32;mid;NA;250000;1991;0;0;NA;Bayer 04 Leverkusen;Fortuna Düsseldorf;250 Tsd. €
FC Bayern München;Fortuna Düsseldorf;6248;Rainer Aigner;23;def;NA;100000;1991;0;0;NA;FC Bayern München;Fortuna Düsseldorf;100 Tsd. €
SpVgg Erkenschwick;Fortuna Düsseldorf;6249;Georg Koch;19;gkp;NA;0;1991;0;0;NA;SpVgg Erkenschwick;Fortuna Düsseldorf;ablösefrei
Hertha BSC;Fortuna Düsseldorf;6250;Uwe Rahn;29;fwd;NA;NA;1991;0;0;NA;Hertha BSC;Fortuna Düsseldorf;?
BK Frem;Fortuna Düsseldorf;6251;Lars Brögger;21;mid;NA;NA;1991;0;0;NA;BK Frem;Fortuna Düsseldorf;?
FC Energie Cottbus;Fortuna Düsseldorf;6252;Sven Backhaus;23;def;NA;NA;1991;0;0;NA;FC Energie Cottbus;Fortuna Düsseldorf;?
Unbekannt;Fortuna Düsseldorf;6253;Michael Ronca;19;def;NA;NA;1991;0;0;NA;Unbekannt;Fortuna Düsseldorf;?
Unbekannt;Fortuna Düsseldorf;6254;Dirk Schilbock;18;def;NA;NA;1991;0;0;NA;Unbekannt;Fortuna Düsseldorf;?
SV Lohhof;Fortuna Düsseldorf;6255;Wolfgang Summer;19;fwd;NA;NA;1991;0;0;NA;SV Lohhof;Fortuna Düsseldorf;?
HNK Hajduk Split;Fortuna Düsseldorf;6256;Darko Drazic;28;def;NA;NA;1991;0;0;NA;HNK Hajduk Split;Fortuna Düsseldorf;?
Fortuna Düsseldorf;Eintracht Frankfurt;6257;Jörn Andersen;28;fwd;NA;600000;1991;0;0;NA;Fortuna Düsseldorf;Eintracht Frankfurt;600 Tsd. €
